x,y,a,uv,ua
0.0,0.0,0.0,0.0,0.0
0.0,2.5633889926268695e-10,0.0,0.0,0.0
0.0,1.7804126066778282e-10,0.0,0.0,0.0
0.0,0.0015999998485295853,0.0,0.002,0.0
0.0,0.0035999995310435316,0.0,0.002,0.0
0.0,0.0055999992127718935,0.0,0.002,0.0
0.0,0.007599998895762693,0.0,0.002,0.0
0.0,0.009599998581136877,0.0,0.002,0.0
0.0,0.011599998269562208,0.0,0.002,0.0
0.0,0.013599997961478453,0.0,0.002,0.0
0.0,0.015599997657198852,0.0,0.002,0.0
0.0,0.017599997356955135,0.0,0.002,0.0
0.0,0.01959999706091774,0.0,0.002,0.0
0.0,0.021599996769205085,0.0,0.002,0.0
0.0,0.02359999648188726,0.0,0.002,0.0
0.0,0.025599996198235872,0.0,0.002,0.0
0.0,0.02759999591019811,0.0,0.002,0.0
0.0,0.02959999561783807,0.0,0.002,0.0
0.0,0.031599995321263494,0.0,0.002,0.0
0.0,0.03359999502062442,0.0,0.002,0.0
0.0,0.035599994716111666,0.0,0.002,0.0
0.0,0.03759999440795484,0.0,0.002,0.0
0.0,0.039599994096420135,0.0,0.002,0.0
0.0,0.04159999378180757,0.0,0.002,0.0
0.0,0.04359999346444803,0.0,0.002,0.0
0.0,0.0455999931446999,0.0,0.002,0.0
0.0,0.04759999282294553,0.0,0.002,0.0
0.0,0.04959999249958756,0.0,0.002,0.0
0.0,0.05159999217504457,0.0,0.002,0.0
0.0,0.0535999918497472,0.0,0.002,0.0
0.0,0.055599991524133585,0.0,0.002,0.0
0.0,0.05759999119864513,0.0,0.002,0.0
0.0,0.0595999908737221,0.0,0.002,0.0
0.0,0.06159999054979901,0.0,0.002,0.0
0.0,0.06359999022730072,0.0,0.002,0.0
0.0,0.06559998990663758,0.0,0.002,0.0
0.0,0.0675999895882018,0.0,0.002,0.0
0.0,0.06959998927236333,0.0,0.002,0.0
0.0,0.0715999889594662,0.0,0.002,0.0
0.0,0.07359998864982518,0.0,0.002,0.0
0.0,0.07559998834372243,0.0,0.002,0.0
0.0,0.07759998804140485,0.0,0.002,0.0
0.0,0.0795999877430814,0.0,0.002,0.0
0.0,0.08159998744892141,0.0,0.002,0.0
0.0,0.08359998715905254,0.0,0.002,0.0
0.0,0.08559998687355953,0.0,0.002,0.0
0.0,0.08759998658782477,0.0,0.002,0.0
0.0,0.08759998658782477,-0.006153740000000241,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.036922689999999925,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.06769182000000029,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.09846101000000029,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.12923021000000023,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.15999942000000011,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.19076863999999993,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.22153785999999975,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.2523070799999996,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.2830762999999994,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.3138455199999992,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.34461473999999903,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.37538395999999885,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.40615317999999867,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.4369223999999985,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.4676916199999983,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.49846083999999813,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.529230059999998,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.5599992799999978,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.5907684999999976,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.6215377199999974,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.6523069399999972,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.683076159999997,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.7138453799999969,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.7446145999999967,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.7753838199999965,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.8061530399999963,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.8369222599999961,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.867691479999996,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.8984606999999958,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.9292299199999956,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.9599991399999954,0.0,-0.3076923076923077
0.0,0.08759998658782477,-0.9907683599999952,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.021537579999995,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.0523067999999949,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.0830760199999947,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.1138452399999945,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.1446144599999943,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.1753836799999942,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.206152899999994,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.2369221199999938,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.2676913399999936,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.2984605599999934,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.3292297799999933,0.0,-0.3076923076923077
0.0,0.08759998658782477,-1.359998999999993,0.0,-0.3076923076923077
