zd1,za1,ul,ur
0.0,0.0,0.0,0.0
0.296867910772562,1.6444274046134073,0.0,0.0
0.2906117022037506,1.6198837120072371,0.0,0.0
0.29408625364303587,1.6198837120072371,0.0,0.0
0.2998337745666504,1.6198837120072371,0.0,0.0
0.2921384125947952,1.6198837120072371,0.0,0.0
0.29694091975688935,1.6198837120072371,0.0,0.0
0.289860463142395,1.6198837120072371,0.0,0.0
0.30273566842079164,1.6198837120072371,0.0,0.0
0.29712784588336943,1.6198837120072371,0.0,0.0
0.29690864086151125,1.6198837120072371,0.0,0.0
0.2944468826055527,1.6198837120072371,1.0,1.0
0.29545294120907784,1.6444274046134073,1.0,1.0
0.3022206276655197,1.6444274046134073,1.0,1.0
0.29566385969519615,1.6444274046134073,1.0,1.0
0.2993295043706894,1.6444274046134073,1.0,1.0
0.3103123977780342,1.6444274046134073,1.0,1.0
0.2975598692893982,1.6689710972195777,1.0,1.0
0.29273771345615385,1.6689710972195777,1.0,1.0
0.2935122810304165,1.6935147898257479,1.0,1.0
0.2941254675388336,1.6935147898257479,1.0,1.0
0.30174463242292404,1.6935147898257479,1.0,1.0
0.29736828058958054,1.6935147898257479,1.0,1.0
0.29454489797353745,1.6935147898257479,1.0,1.0
0.29473796486854553,1.718058482431918,1.0,1.0
0.29810688495635984,1.718058482431918,1.0,1.0
0.2928643673658371,1.7426021750380885,1.0,1.0
0.29034922271966934,1.7426021750380885,1.0,1.0
0.32924168556928635,1.7426021750380885,1.0,1.0
0.33463433384895325,1.7426021750380885,1.0,1.0
0.33256103843450546,1.7426021750380885,1.0,1.0
0.31330969035625456,1.7671458676442586,1.0,1.0
0.3129410445690155,1.7671458676442586,1.0,1.0
0.31683040261268614,1.7671458676442586,1.0,1.0
0.31594881415367126,1.7671458676442586,1.0,1.0
0.3320341929793358,1.791689560250429,1.0,1.0
0.32528650760650635,1.791689560250429,1.0,1.0
0.3350708782672882,1.791689560250429,1.0,1.0
0.3241736739873886,1.791689560250429,1.0,1.0
0.30761476457118986,1.8162332528565992,1.0,1.0
0.3163697421550751,1.8162332528565992,1.0,1.0
0.3125889480113983,1.8162332528565992,1.0,1.0
0.32510390132665634,1.8407769454627694,1.0,1.0
0.3239785060286522,1.8407769454627694,1.0,1.0
0.319037489593029,1.8407769454627694,1.0,1.0
0.32431747019290924,1.8407769454627694,1.0,1.0
0.32658979296684265,1.8407769454627694,1.0,1.0
0.3123410403728485,1.8653206380689398,1.0,1.0
0.3154164493083954,1.8653206380689398,1.0,1.0
0.32660846412181854,1.88986433067511,1.0,1.0
0.3319258987903595,1.88986433067511,1.0,1.0
0.3263835906982422,1.88986433067511,1.0,1.0
0.3281710743904114,1.88986433067511,1.0,1.0
0.32442160695791245,1.88986433067511,1.0,1.0
0.3184458613395691,1.9144080232812803,1.0,1.0
0.3235194146633148,1.9144080232812803,1.0,1.0
0.32005472779273986,1.9144080232812803,1.0,1.0
0.32326357811689377,1.9389517158874505,1.0,1.0
0.32893476635217667,1.9389517158874505,1.0,1.0
0.3244042992591858,1.9389517158874505,1.0,1.0
0.32764632999897003,1.9389517158874505,1.0,1.0
0.3243913948535919,1.9389517158874505,1.0,1.0
0.329259991645813,1.9389517158874505,1.0,1.0
0.32328420877456665,1.9634954084936207,1.0,1.0
0.3252833843231201,1.9634954084936207,1.0,1.0
0.34128496795892715,1.988039101099791,1.0,1.0
0.3325551897287369,1.988039101099791,1.0,1.0
0.33344192802906036,1.988039101099791,1.0,1.0
0.33735471963882446,1.988039101099791,1.0,1.0
0.32556164264678955,1.988039101099791,1.0,1.0
0.3493241146206856,1.988039101099791,1.0,1.0
0.3397407591342926,2.0125827937059615,1.0,1.0
0.3367289125919342,2.0125827937059615,1.0,1.0
0.3432679548859596,2.0371264863121317,1.0,1.0
0.33546359091997147,2.0371264863121317,1.0,1.0
0.338663749396801,2.0371264863121317,1.0,1.0
0.34309081733226776,2.0371264863121317,1.0,1.0
0.35079047083854675,2.0371264863121317,1.0,1.0
0.3459649384021759,2.0371264863121317,1.0,1.0
0.3478620946407318,2.0371264863121317,1.0,1.0
0.34029181599617003,2.061670178918302,1.0,1.0
0.3482835367321968,2.086213871524472,1.0,1.0
0.35224976390600204,2.086213871524472,1.0,1.0
0.34527069330215454,2.086213871524472,1.0,1.0
0.34762562066316605,2.086213871524472,1.0,1.0
0.35050269216299057,2.086213871524472,1.0,1.0
0.35202908515930176,2.086213871524472,1.0,1.0
0.35342738777399063,2.086213871524472,1.0,1.0
0.3515387326478958,2.086213871524472,1.0,1.0
0.32805009186267853,2.086213871524472,1.0,1.0
0.35868339985609055,2.1353012567368124,1.0,1.0
0.36042314767837524,2.1353012567368124,1.0,1.0
0.34885933995246887,2.1353012567368124,1.0,1.0
0.3324846227963765,2.110757564130642,1.0,1.0
0.3587045446038246,2.1353012567368124,1.0,1.0
0.36596544831991196,2.1353012567368124,1.0,1.0
0.3609781041741371,2.1353012567368124,1.0,1.0
