x,y,a
0.0,0.0,0.0
5.271641179742682e-08,-0.006102153006636893,2.5119224577070134e-05
2.1113659104693994e-06,-0.0036266084674707426,2.0776865756361535e-05
3.5500625066560235e-06,-0.00327154519036104,1.9842817931331464e-05
4.038934440771127e-06,-0.0027689433498461254,1.776411606439e-05
4.253408215479834e-06,-0.000724172177241772,8.493692270654123e-06
4.310641747481453e-06,0.0012905438549436037,-8.793443765637931e-07
4.292977290763074e-06,0.003295210633961083,-1.0162404538653515e-05
4.230246530752431e-06,0.005296628714868563,-1.9209873358563073e-05
4.133955878753639e-06,0.007296997975491127,-2.7903279218463546e-05
4.009130033280987e-06,0.009297029062358474,-3.614111735808275e-05
3.858529111989094e-06,0.011296950518066106,-4.3833471200086394e-05
3.684185280964116e-06,0.01329683481748164,-5.089948308333644e-05
3.487973031849665e-06,0.015296703928665674,-5.726637883214516e-05
3.2718209852031464e-06,0.017296563500724876,-6.286928463192991e-05
3.0377859165764365e-06,0.019296413945985573,-6.765141632864398e-05
2.7880713746004186e-06,0.021296254041774404,-7.156441734112564e-05
2.5250226890456318e-06,0.023296082109998083,-7.456872772167781e-05
2.2511111677002496e-06,0.025295896411858518,-7.66339228935116e-05
1.9689129113182763e-06,0.027295695287620922,-7.773898968900919e-05
1.6810847182507147e-06,0.029295477212860528,-7.787252245949357e-05
1.390338321133476e-06,0.031295240826570994,-7.703283013564309e-05
1.0994136683763387e-06,0.03329498494896245,-7.522794959797967e-05
8.110517299748211e-07,0.035294708594632934,-7.247556347790763e-05
5.279671994043814e-07,0.037294410982877016,-6.880282234620189e-05
2.5282141348703526e-07,0.03929409154564277,-6.424607265832031e-05
-1.1804217116436945e-08,0.04129374993325528,-5.8850492966494916e-05
-2.6343398923544757e-07,0.04329338601791428,-5.266964194964905e-05
-4.997226371902872e-07,0.04529299989495112,-4.5764922752654855e-05
-7.184787622579543e-07,0.047292591881842136,-3.820496897232236e-05
-9.176867258938719e-07,0.04929216251498987,-3.0064958433643653e-05
-1.0955267874134724e-06,0.05129171254430833,-2.1425861630122173e-05
-1.2503932846603947e-06,0.05329124292566823,-1.2373632348498672e-05
-1.3809106763122955e-06,0.05529075481128015,-2.998348577689832e-06
-1.4859472848711122e-06,0.057290249538114776,6.606687699674566e-06
-1.5646266037076188e-06,0.059289728614478704,1.6345882834263766e-05
-1.6163360547292922e-06,0.06128919370488141,2.6122306629973486e-05
-1.6407331099060906e-06,0.06328864661334914,3.5838660721254264e-05
-1.637748714659888e-06,0.06528808926535278,4.539825052123593e-05
-1.6075879796021369e-06,0.06728752368853325,5.470595105398836e-05
-1.5507281334017381e-06,0.06928695199241804,6.366915701698763e-05
-1.467913757434736e-06,0.07128637634733266,7.219870760089574e-05
-1.3601493496422889e-06,0.07328579896271852,8.02097768436708e-05
-1.2286892919103923e-06,0.07528522206507268,8.76227206388572e-05
-1.0750253210895205e-06,0.0772846478757313,9.436387195719065e-05
-9.008716290745455e-07,0.07928407858871528,0.00010036627635741469
-7.081477402043901e-07,0.08128351634885965,0.00010557036045390738
-4.98959337583371e-07,0.08328296323044254,0.00010992452668588509
-2.755772293382326e-07,0.08528242121652484,0.00011338566846145245
-4.0414665058683935e-08,0.08728189217920473,0.00011591960054160818
2.039967709916598e-07,0.08928137786098142,0.00011750140038378919
4.550324491045808e-07,0.0912808798574118,0.00011811565703149288
7.100009133449612e-07,0.09328039960123075,0.00011775662508076691
9.66170768836241e-07,0.09527993834809054,0.00011642828217289947
1.2207979680064083e-06,0.09727949716406091,0.00011414428944712639
1.4711532242760444e-06,0.09927907691501174,0.0001109278553319842
1.7145492780439816e-06,0.10127867825798385,0.00010681150403194876
1.9483677435473254e-06,0.1032783016346327,0.00010183675100216491
2.1700852678699607e-06,0.10527794726681072,9.605368864195434e-05
2.377298740706663e-06,0.10727761515433201,8.95204863238444e-05
2.5677493034052424e-06,0.10927730507494303,8.230280973732609e-05
2.73934491625297e-06,0.11127701658650041,7.447316532592999e-05
2.890181260217326e-06,0.11327674903133628,6.611017634654108e-05
3.018560762391761e-06,0.11527650154276861,5.72977977693775e-05
3.1230095562910815e-06,0.1172762730536957,4.8124477840249664e-05
3.202292206803047e-06,0.11927606230718932,3.8682274672624374e-05
3.2554240530650925e-06,0.12127586786898538,2.9065936680707946e-05
3.281681045112447e-06,0.12327568814174844,1.937195604096472e-05
3.2806069771715405e-06,0.12527552138097137,9.69760462272661e-06
3.2520180437724473e-06,0.12727536571235293,1.3996203399246213e-07
3.1960046748045883e-06,0.12927521915048173,-9.205054508865994e-06
3.1129306294798276e-06,0.13127507961864235,-1.8243648788246388e-05
3.0034293596608655e-06,0.13327494496954578,-2.6885083074810415e-05
2.8683976777714817e-06,0.13527481300677902,-3.504258512095382e-05
2.708986793518588e-06,0.13727468150675798,-4.2634215573725326e-05
2.526590808461872e-06,0.1392745482409666,-4.958368713802442e-05
2.3228327834843754e-06,0.14127441099825627,-5.5821127258830304e-05
2.0995485184849145e-06,0.14327426760698328,-6.128377670838395e-05
1.8587682067365281e-06,0.14527411595676062,-6.591661706196268e-05
1.6026961466042857e-06,0.1472739540196047,-6.967292078446219e-05
1.3336887140978528e-06,0.14927377987026294,-7.25147184102605e-05
1.054230815979315e-06,0.1512735917055174,-7.441317813812808e-05
7.669110586999484e-07,0.1532733878622677,-7.534889403663163e-05
4.743958819621712e-07,0.15527316683421072,-7.531207997989096e-05
1.7940291461375088e-07,0.15727292728694744,-7.43026673670471e-05
-1.1532618056550702e-07,0.15927266807136436,-7.233030565497702e-05
-4.070531016502506e-07,0.16127238823515272,-6.941426570319765e-05
-6.930702684752991e-07,0.16327208703234986,-6.558324690923942e-05
-9.70727876146111e-07,0.1652717639308061,-6.087509006969174e-05
-1.2374603710541757e-06,0.16727141861750167,-5.5336398856040074e-05
-1.4908120847256351e-06,0.16927105100166104,-4.9022073700850353e-05
-1.008583071707582e-05,0.1708826125929444,-0.005772756892433739
-5.296734338278614e-05,0.17085677983227066,-0.03468701416427036
-9.510317012367917e-05,0.170803244033668,-0.06409421917578591
-0.00013375575831358602,0.17071739044732842,-0.09401498139217654
-0.00016636067818663852,0.17059614863533154,-0.12447788865758556
-0.00019238102841803674,0.17045074611924935,-0.15531273859048075
-0.00021348798631674448,0.17030702151498425,-0.18615346942514766
-0.0002296567151415835,0.1701656673102082,-0.21699139377547336
-0.00024087945304924075,0.17002674711309707,-0.24782632249464912
-0.0002471503969978268,0.16989037022947567,-0.27865806296247364
-0.00024846715535064255,0.16975665924259276,-0.3094864228870193
-0.00024483141242851196,0.16962573948796433,-0.3403112153637718
-0.00023624918743103468,0.16949773557250655,-0.37113226236827074
-0.00022273091234946765,0.16937277015871852,-0.40194939682844566
-0.00020429143493450302,0.1692509634765794,-0.43276246377734645
-0.0001809499922793981,0.1691324330688528,-0.4635713209621862
-0.00015273017369017532,0.16901729361103968,-0.4943758391422261
-0.00011965988036933151,0.16890565675521602,-0.5251759022129425
-8.177128497676399e-05,0.1687976309818093,-0.5559714072379794
-3.910079235568565e-05,0.16869332145463362,-0.5867622644382332
8.310998019217704e-06,0.1685928298781846,-0.6175483971685952
6.0419327658190435e-05,0.16849625435741225,-0.6483297419014418
0.0001171753127133272,0.16840368926060498,-0.6791062482286252
0.0001785259757902521,0.16831522508615865,-0.7098778788886749
0.00024441427614061567,0.16823094833404684,-0.740644609822283
0.00031477913856235804,0.16815094138280517,-0.7714064302562412
0.0003895554814276206,0.16807528237282215,-0.802163342813725
0.0004686742443374692,0.1680040450966838,-0.832915363646846
0.0005520624159806118,0.16793729889726933,-0.863662522585799
0.0006396430628294557,0.1678751085742272,-0.8944048632975596
0.000731335359360364,0.16781753429938612,-0.9251424434460273
0.0008270546205221855,0.16776463154157312,-0.9558753348447124
0.0009267123372000011,0.16771645100121543,-0.9866036235925224
0.00103021621543098,0.16767303855501106,-1.0173274101829635
0.0011374702201264065,0.16763443521084542,-1.0480468095770963
0.0012483746240342583,0.16760067707303186,-1.0787619512308806
0.0013628260626445468,0.16757179531784697,-1.1094729790680875
0.0014807175956934818,0.16754781617922637,-1.140180051390766
0.0029564517592496464,0.16820183514859013,-1.14633269994669
0.004782177262717887,0.1690292320350396,-1.1463368880216083
0.006605268435194581,0.16985534420333304,-1.1463427244274318
0.008427500525119702,0.1706810479518351,-1.146349131239603
0.01024944249225826,0.1715066276808479,-1.1463557274240612
0.012071274247572563,0.17233217454587232,-1.1463623414383661
0.013893050389615785,0.17315771659353696,-1.1463688646477617
0.015714785294661155,0.1739832612407693,-1.1463752079639178
0.017536480590341172,0.1748088091528779,-1.1463812895366865
0.01935813404616521,0.1756343587890719,-1.1463870316961304
0.021179742468463585,0.17645990790279265,-1.1463923606054087
0.023001302658880663,0.1772854540484041,-1.1463972066782253
0.024822811745248474,0.1781109947634834,-1.146401505184637
0.026644267306742145,0.17893652764486223,-1.1464051968735833
0.028465667429210487,0.1797620503893942,-1.1464082285587103
0.030287010734366855,0.1805875608224264,-1.1464105536484546
0.03210829639681749,0.18141305692130735,-1.146412132611485
0.03392952415336278,0.18223853683617558,-1.1464129333718998
0.03575069430596216,0.18306399890862987,-1.1464129316299625
0.037571807718814354,0.1838894416883551,-1.1464121111051246
0.039392865809736395,0.18471486394762363,-1.1464104636988712
0.041213870535978345,0.18554026469355628,-1.1464079895757602
0.04303482437463358,0.18636564317802834,-1.146404697161846
0.04485573029784636,0.18719099890512633,-1.146400603060482
0.04667659174306814,0.1880163316360821,-1.1463957318863673
0.04849741257866252,0.18884164139163648,-1.1463901160194827
0.050318197065203726,0.1896669284518098,-1.1463837952813833
0.05213894981285912,0.1904921933530828,-1.1463768165370931
0.0539596757352816,0.19131743688301608,-1.146369233226586
0.055780380000475784,0.19214266007236455,-1.1463611048305462
0.05760106797912995,0.19296786418476325,-1.1463524962757607
0.059421745190931616,0.1937930507040922,-1.1463434772860912
0.0612424172494036,0.1946182213196435,-1.146334121685537
0.06306308980581268,0.19544337790924096,-1.1463245066603442
0.064883768492712,0.19626852252048094,-1.1463147119875714
0.06670445886767994,0.19709365735028048,-1.1463048192378085
0.06852516635781779,0.19791878472293903,-1.1462949109600284
0.07034589620556025,0.19874390706693026,-1.1462850698567395
0.07216665341633731,0.19956902689065634,-1.1462753779576575
0.07398744270861068,0.20039414675740652,-1.1462659158001718
0.07580826846678049,0.20121926925976855,-1.14625676162479
0.0776291346974322,0.20204439699374785,-1.1462479905935972
0.0794500449893579,0.2028695325328532,-1.1462396740395182
0.08127100247774956,0.20369467840240507,-1.1462318787538992
0.08309200981292067,0.20451983705432394,-1.1462246663194926
0.08491306913386547,0.20534501084264936,-1.1462180924955134
0.08673418204692067,0.20617020200003303,-1.1462122066608904
0.08855534960973944,0.20699541261544088,-1.146207051321261
0.09037657232073783,0.20782064461328606,-1.1462026616846215
0.09219785011411885,0.2086458997342019,-1.1461990653098715
0.0940191823605231,0.20947117951764538,-1.1461962818317288
0.09584056787330011,0.21029648528650705,-1.1461943227647782
0.09766200492033854,0.21112181813387995,-1.1461931913885788
0.09948349124133755,0.21194717891212037,-1.1461928827149932
0.10130502407034878,0.2127725682243118,-1.1461933835380493
0.10312660016336508,0.21359798641821598,-1.146194672565838
0.10494821583068212,0.2144234335827742,-1.1461967206331305
0.10676986697371149,0.21524890954719333,-1.146199490992597
0.10859154912588018,0.21607441388262832,-1.146202939681721
0.11041325749720879,0.21689994590644307,-1.1462070159617603
0.11223498702212595,0.21772550468901,-1.1462116628243666
0.114056732410042,0.21855108906298037,-1.146216817560827
0.11587848819817924,0.2193766976349327,-1.146222412388244
0.11770024880613128,0.2202023287992851,-1.1462283751264226
0.11952200859160703,0.22102798075433128,-1.1462346299186992
0.12134376190680357,0.22185365152024125,-1.1462410979895388
0.12316550315484433,0.2226793389588464,-1.1462476984313323
0.1249872268457176,0.22350504079501066,-1.1462543490125485
0.12680892765115717,0.22433075463937566,-1.1462609669991772
0.12863060045791383,0.2251564780122499,-1.1462674699812416
0.13045224041888598,0.22598220836840327,-1.146273776696164
0.13227384300159492,0.22680794312251965,-1.1462798078407124
0.13409540403351977,0.2276336796750505,-1.1462854868634542
0.1359169197438365,0.2284594154382119,-1.1462907407297684
0.13773838680114261,0.22928514786186288,-1.1462955006517734
0.1395598023467877,0.2301108744590068,-1.1462997027758686
0.14138116402347564,0.23093659283065915,-1.1463032888210178
0.14320246999885075,0.2317623006898335,-1.1463062066613596
0.14502371898383104,0.23258799588440401,-1.1463084108473427
0.1468449102455045,0.23341367641861716,-1.1463098630601452
0.14866604361445768,0.2342393404730366,-1.1463105324948222
0.1504871194864651,0.23506498642272072,-1.1463103961683574
0.15230813881852093,0.23589061285345375,-1.1463094391495203
0.1527756655729807,0.23604309395026268,-1.170853685366444
0.15289650935887894,0.23602719044004816,-1.2015428934183372
0.1530230224405905,0.23601744423598245,-1.232226671166009
0.1531533203260632,0.23601297254217307,-1.2629060019904876
0.1532866840807368,0.23601351493639705,-1.2935815431931397
0.15342278510298563,0.2360189950431954,-1.3242537969064587
0.15356142464310685,0.23602938849160351,-1.3549232047546425
0.153702446518948,0.2360446833782774,-1.3855901901134307
0.1538457079883149,0.23606486847711952,-1.4162551746242285
0.15399107011152166,0.23608992970811268,-1.4469185835679501
0.15411809100485085,0.2361206784846069,-1.4772926202296028
0.15420858221972203,0.23615795537399836,-1.5071178706875275
0.15426442800108198,0.23619924172304985,-1.53642670984526
0.15428735079504763,0.2362422735092627,-1.5652473551380266
0.15428046130313128,0.23628535094999412,-1.5938417467048456
0.15424211955539485,0.23632776200578995,-1.6228793076883439
0.15417013278499686,0.23636775553137326,-1.6524197438774224
0.15406281863736473,0.23640278637171938,-1.6824903183388549
0.15392198803157267,0.23643106307718062,-1.7130666608768406
0.15377675294082935,0.23645425144017865,-1.743734867061311
0.15363384574097455,0.23647255209320464,-1.7744054131475928
0.15349332236747304,0.2364859532327159,-1.805078714044231
0.15335529586537425,0.2364944442763225,-1.8357551674671402
0.15321989619196288,0.23649801726949207,-1.866435143531019
0.15308725704305293,0.2364966675807595,-1.8971189849250143
0.15295751142769184,0.2364903942238131,-1.9278070085222538
0.15283081231072407,0.2364792002453893,-1.9584992030348654
0.15270735179876413,0.23646309277030647,-1.989194990092637
0.1525871943026928,0.23644208252366652,-2.019895430859716
0.1524704281960235,0.2364161841529505,-2.050601174008521
0.1523571553691153,0.23638541633252586,-2.0813126045177572
0.15224748033690005,0.23634980194507402,-2.112029987513741
0.15214150650345656,0.23630936819389786,-2.1427535165784684
0.15203933602144054,0.23626414674239782,-2.173483315138511
0.15194109474990167,0.23621417429432268,-2.2042191374489013
0.1525113566059631,0.2357023029404535,-2.222657989437879
0.15410544739104548,0.2344825034337937,-2.2226703571026953
0.15569546836040637,0.23326542665303698,-2.2226763036675607
0.1572841901560222,0.2320492109760649,-2.222680488009175
0.15887252521986614,0.23083324925456397,-2.2226844569759483
0.16046076646261817,0.22961734977989667,-2.222688702803335
0.16204900560384602,0.22840145430808803,-2.222693363986986
0.1636372688419438,0.22718554755966047,-2.2226984581899063
0.16522556087794732,0.2259696281556601,-2.222703959940151
0.16681387922779367,0.22475369926010494,-2.222709826783968
0.1684022189029649,0.2235377655424468,-2.2227160083246926
0.16999057396986522,0.22232183216665294,-2.2227224495917945
0.17157893809851454,0.2211059044302168,-2.2227290925432994
0.1731673047844808,0.21988998761190517,-2.222735876963012
0.17475566746535554,0.2186740868870864,-2.2227427411681324
0.17634401960307317,0.21745820726571444,-2.222749622661328
0.1779323547547369,0.2162423535389041,-2.222756458767653
0.179520666638852,0.21502653022991725,-2.222763187265467
0.18110894919876636,0.2138107415485417,-2.222769747010194
0.18269719666348064,0.21259499134883328,-2.222776078546376
0.1842854036054724,0.21137928309049195,-2.2227821247024284
0.18587356499503793,0.21016361980421092,-2.2227878311623384
0.18746167625063073,0.20894800406133027,-2.2227931470086166
0.18904973328470004,0.20773243794809734,-2.222798025231109
0.1906377325445717,0.20651692304478983,-2.222802423196566
0.19222567104796157,0.2053014604099122,-2.2228063030743064
0.19381354641276707,0.2040860505696222,-2.22280963221372
0.19540135688083868,0.20287069351249437,-2.222812383469859
0.19698910133549566,0.20165538868967173,-2.222814535473898
