zl,zr,zd,za,ul,ur
0.0,0.0,0.0,0.0,0.0,0.0
6.695709194870285e-07,2.3392369158797447e-06,0.2498067259788513,1.6444274046134073,0.0,0.0
-9.843668353197356e-07,-8.178891878093538e-06,0.25180036657386357,1.6198837120072371,0.0,0.0
-1.160867196742255e-06,-5.579411295985391e-06,0.25179796251985764,1.6198837120072371,0.0,0.0
2.299620964179612e-06,1.3448159084050199e-05,0.2517973548836178,1.6198837120072371,0.0,0.0
-2.0008750943169289e-07,2.6789847302467873e-06,0.2517973747518327,1.6198837120072371,1.0,1.0
0.10000379474086361,0.10000116716259182,0.2517997125784556,1.6198837120072371,1.0,1.0
0.09999557259772607,0.0999960190891274,0.2517983764410019,1.6198837120072371,1.0,1.0
0.10000069248575261,0.10000288750116512,0.24979690164327623,1.6444274046134073,1.0,1.0
0.09999809073164218,0.09999777818281924,0.2518137726518843,1.6689710972195777,1.0,1.0
0.09999606530465471,0.09999702779480246,0.2518143736653858,1.6689710972195777,1.0,1.0
0.10000453008841359,0.099997405418704,0.25181327594651115,1.6689710972195777,1.0,1.0
0.10000315249983005,0.10000404908282923,0.2518159829907947,1.6689710972195777,1.0,1.0
0.10000040177699432,0.10000187562284468,0.25181424617767334,1.6689710972195777,1.0,1.0
0.09999398375168334,0.09999726166656808,0.25181551774342853,1.6689710972195777,1.0,1.0
0.10000700565503684,0.09999569303572775,0.2517251521348953,1.718058482431918,1.0,1.0
0.09998995010602774,0.10000373144016084,0.2517264154222276,1.718058482431918,1.0,1.0
0.10000606304228898,0.10000252873798665,0.25172775983810425,1.718058482431918,1.0,1.0
0.10000121363523617,0.09999731060877215,0.2517284270789888,1.718058482431918,1.0,1.0
0.09999866382323219,0.09999734062494525,0.25172735419538284,1.718058482431918,1.0,1.0
0.1000038059849413,0.10000596898221303,0.2517270627948973,1.718058482431918,1.0,1.0
0.0999960168969094,0.10000016444629556,0.25160514149400925,1.7671458676442586,1.0,1.0
0.10000493616809458,0.09999360194262952,0.2516045487589306,1.7671458676442586,1.0,1.0
0.09999482839075124,0.10000241602562832,0.2516068369150162,1.7671458676442586,1.0,1.0
0.09999550632472998,0.10000045427215687,0.2516030818223953,1.7671458676442586,1.0,1.0
0.10000289474765922,0.0999959172623126,0.25160593953397536,1.7671458676442586,1.0,1.0
0.10000250048760573,0.10000856312542084,0.2516096582015355,1.7671458676442586,1.0,1.0
0.09999724098898177,0.0999931241416534,0.25214351154863834,1.7916895602504288,1.0,1.0
0.09999591180793788,0.10000366567219654,0.2512636101908154,1.8162332528565992,1.0,1.0
0.10000224752685583,0.10000016702058545,0.2512600968281428,1.8162332528565992,1.0,1.0
0.10000177499605245,0.10000227061723832,0.2512662245167626,1.8162332528565992,1.0,1.0
0.1000008516056008,0.09999374290097496,0.25126562350326115,1.8162332528565992,1.0,1.0
0.09999858706204945,0.09999708518942096,0.2517166319820616,1.8162332528565992,1.0,1.0
0.10000416253396871,0.10000833159998868,0.24650167301297188,1.8407769454627694,1.0,1.0
0.09999457282477797,0.09999421331109826,0.2472719643265009,1.8407769454627694,1.0,1.0
0.10000495663614606,0.10000314865115767,0.25345365868674385,1.8653206380689398,1.0,1.0
0.0999996862059982,0.10000115671188414,0.26955101721816593,1.8653206380689398,1.0,1.0
0.09999993203380964,0.10000210907122797,0.2695451643731859,1.8653206380689398,1.0,1.0
0.10000097991616785,0.09999557904303824,0.26954447229703266,1.8653206380689398,1.0,1.0
0.09999595791862914,0.09999869710919995,0.2695435368352466,1.8653206380689398,1.0,1.0
0.10000331779966798,0.09999929119564,0.27079779903093976,1.8653206380689398,1.0,1.0
0.0999994138183351,0.10001009527383742,0.27387747002972496,1.8653206380689398,1.0,1.0
0.10000446797586093,0.09999404932302403,0.27695197363694507,1.8653206380689398,1.0,1.0
0.09999469472324529,0.09999727354708865,0.27830845564603807,1.88986433067511,1.0,1.0
0.09999763026699693,0.10000470128049788,0.2713857938845952,1.9144080232812803,1.0,1.0
0.10000038242161935,0.09999745640780144,0.27138738334178925,1.9144080232812803,1.0,1.0
0.09999881270074118,0.09999721583699639,0.2724316500955158,1.9144080232812803,1.0,1.0
0.10000539450959156,0.09999935627160195,0.27439216441578335,1.9144080232812803,1.0,1.0
0.0999962082346606,0.10000422338059511,0.27635134590996635,1.9144080232812803,1.0,1.0
0.09999696150746473,0.10000003727500051,0.2782876359091865,1.9144080232812803,1.0,1.0
0.1000016294494781,0.10000461625268997,0.279786205291748,1.9389517158874505,1.0,1.0
0.09999897992458173,0.09999659806066852,0.281516021490097,1.9389517158874505,1.0,1.0
0.10000676364511207,0.10000080267442613,0.2760973506503635,1.9634954084936207,1.0,1.0
0.09999919584516626,0.09999696202958841,0.2775333258840773,1.9634954084936207,1.0,1.0
0.10000218737937683,0.10000314511437836,0.2789621502161026,1.9634954084936207,1.0,1.0
0.09999290522610416,0.09999150778988675,0.2803882211446762,1.9634954084936207,1.0,1.0
0.10000521963176556,0.10000950649191331,0.2818327612347073,1.9634954084936207,1.0,1.0
0.09999811514652546,0.09998993521410693,0.28325821459293365,1.9634954084936207,1.0,1.0
0.09999862327159015,0.10000546417680578,0.285550519824028,1.988039101099791,1.0,1.0
0.10000666118542423,0.09999909962805908,0.287823586165905,1.988039101099791,1.0,1.0
0.09999339442267807,0.09999942283275409,0.290133199095726,1.988039101099791,1.0,1.0
0.10000470925777272,0.1000003083793013,0.2852134356896083,2.012582793705961,1.0,1.0
0.09999600411532406,0.10000244293365768,0.2863423211707009,2.012582793705961,1.0,1.0
