x,y,a
0.0,0.0,0.0
5.2716411821519854e-08,-0.006102153006636886,2.5119224577629108e-05
2.111365910462553e-06,-0.0036266084674707114,2.077686575706537e-05
3.5500625067296522e-06,-0.003271545190361035,1.9842817931699924e-05
4.017798507036136e-06,-0.0031569926082903495,1.9502446183547985e-05
4.1697072495764716e-06,-0.0031200000536684147,1.937787833836785e-05
4.218860190082842e-06,-0.003107942604311884,1.9331087140651088e-05
4.234660589818445e-06,-0.003103989172864958,1.9312817334999537e-05
4.23968684936655e-06,-0.0031026859832786018,1.930538563439613e-05
4.24125921902755e-06,-0.003102253805265404,1.9302239795944073e-05
4.319336396557631e-06,-0.0011078756025347906,1.0270548068426802e-05
4.336750886135065e-06,0.0008954678075057537,9.568596510936742e-07
4.31042045234379e-06,0.0028964522948049104,-8.335335000019469e-06
4.248838282975433e-06,0.00489667764113473,-1.7431478862851068e-05
4.156616906599446e-06,0.006896660348612431,-2.6200696780833206e-05
4.036570004986983e-06,0.008896566153283887,-3.453562819914257e-05
3.8907477364133565e-06,0.010896447205998566,-4.234313113903071e-05
3.7209441953894714e-06,0.012896318880015517,-4.954017053811816e-05
3.528940137623513e-06,0.014896184654441168,-5.605218452094384e-05
3.3166134781405487e-06,0.016896044185839863,-6.181262234930886e-05
3.0859835948288245e-06,0.018895895936326457,-6.676301681841889e-05
2.8392221504202723e-06,0.02089573803876456,-7.085327722240812e-05
2.5786466353276773e-06,0.02289556859061581,-7.4042046632035e-05
2.3067047100002768e-06,0.02489538576209418,-7.629704467413306e-05
2.0259534391006363e-06,0.02689518784335504,-7.759535539451626e-05
1.739035558726299e-06,0.028894973270980742,-7.792363912585426e-05
1.448653965922356e-06,0.030894740646683468,-7.727825728633398e-05
1.157545152746568e-06,0.03289448875230681,-7.566530443881728e-05
8.684520812713626e-07,0.034894216562355876,-7.310054513462848e-05
5.840968838670844e-07,0.03689392325437664,-6.960925508862706e-05
3.0715371745255973e-07,0.03889360821722536,-6.522596777604016e-05
4.0222070802315607e-08,0.04089327105719031,-5.999412872054654e-05
-2.1419919499257972e-07,0.042892911601920665,-5.3965660828044496e-05
-4.5373680722502753e-07,0.04489252990212786,-4.720044505481309e-05
-6.761667898932671e-07,0.04689212623104568,-3.976572159766962e-05
-8.794366824726204e-07,0.04889170108165523,-3.173541758223581e-05
-1.0616860450522522e-06,0.050891255161705375,-2.318940798949346e-05
-1.2212650458627124e-06,0.0528907893865804,-1.4212717211065162e-05
-1.3567509445381901e-06,0.054890304870088315,-4.894669230095806e-06
-1.4669623069378742e-06,0.05688980291326492,4.672005075558665e-06
-1.5509708088651796e-06,0.05888928499130777,1.4392094569227671e-05
-1.60811051192944e-06,0.060888752738773665,2.4168859179444397e-05
-1.6379845175191303e-06,0.0628882079331896,3.390499639142815e-05
-1.6404689338222548e-06,0.06488765247724397,4.350361326398494e-05
-1.6157141150098282e-06,0.06688708837973716,5.28691942541007e-05
-1.5641431612947668e-06,0.06888651773548353,6.190855519946578e-05
-1.4864476942888095e-06,0.07088594270436795,7.05317739364466e-05
-1.383580949732568e-06,0.07288536548976442,7.865308826766836e-05
-1.256748257168073e-06,0.07488478831653449,8.619175233052515e-05
-1.1073950009227268e-06,0.07688421340882402,9.307284282850927e-05
-9.371921832257031e-07,0.07888364296787868,9.922800708935587e-05
-7.480197331037325e-07,0.08088307915009943,0.00010459614549803411
-5.41947728229408e-07,0.08288252404555427,0.00010912402150177064
-3.212157170792318e-07,0.08488197965715899,0.00011276679311652461
-8.821034746888886e-08,0.08688144788073338,0.00011548846063478291
1.545584741971466e-07,0.08888093048612762,0.00011726222607688965
4.0448265573005026e-07,0.09088042909960647,0.00011807076079989249
6.588819728861432e-07,0.09287994518766357,0.0001179063786021648
9.150308444544596e-07,0.09487948004242587,0.00011677111258765565
1.170185560527552e-06,0.09687903476879045,0.00011467669502698251
1.4216116922703756e-06,0.09887861027342228,0.00011164444040474641
1.6666114097122728e-06,0.10087820725571953,0.00010770503280889107
1.9025504339026554e-06,0.10287782620083705,0.00010289821978289843
2.126884354674598e-06,0.10487746737483669,9.727241567085288e-05
2.3371840508083534e-06,0.10687713082201301,9.088421841089688e-05
2.5311599585309107e-06,0.10887681636442194,8.379784457822977e-05
2.7066849461178232e-06,0.11087652360361808,7.6084488302368e-05
2.86181556572346e-06,0.11287625192458509,6.782161044551555e-05
2.9948114699827315e-06,0.11487600050182155,5.9092165128023996e-05
3.1041527996636476e-06,0.11687576830752465,4.998377130455135e-05
3.188555368199962e-06,0.11887555412179107,4.058783765793644e-05
3.246983491424537e-06,0.1208753565447372,3.099864954117653e-05
3.278660334501763e-06,0.12287517401041988,2.1312427082284667e-05
3.2830756720894973e-06,0.12487500480242081,1.1626363856603101e-05
3.259990984886578e-06,0.12687484707094188,2.037655732617316e-06
3.209441840813814e-06,0.12887469885124225,-7.357470400312503e-06
3.1317375374753076e-06,0.13087455808323542,-1.646471831770757e-05
3.0274580095977404e-06,0.13287442263205107,-2.519266492809038e-05
2.8974480318729583e-06,0.13487429030935755,-3.345367410586896e-05
2.7428087756076826e-06,0.13687415889523188,-4.116477272973138e-05
2.564886802998385e-06,0.13887402616035913,-4.8248480164446794e-05
2.365260610028936e-06,0.14087388988833785,-5.463358287346709e-05
2.145724851263241e-06,0.14287374789786778,-6.0255846405811214e-05
1.9082724052416616e-06,0.14487359806459627,-6.505865761957369e-05
