zl,zr,uv,ua
0.0,0.0,0.0,0.0
4.145169596475647e-06,2.8173966168208926e-06,0.0,0.0
-3.4755986771677112e-06,-4.781597008292235e-07,0.0,0.0
1.52037280156593e-07,9.669789282718188e-07,0.0,0.0
-1.1364041157622109e-06,-9.145870806032566e-06,0.0,0.0
4.604850045042839e-06,4.655783104078295e-06,0.0,0.0
-5.765717241904391e-06,-1.0235194399814535e-05,0.0,0.0
5.4947092559540855e-06,1.2873239505859845e-05,0.0,0.0
-3.1950882917098196e-06,5.749195783881057e-07,0.0,0.0
-7.074819691978068e-06,-4.197269063882642e-06,0.0,0.0
6.874732182531335e-06,6.876253794115361e-06,0.0,0.0
2.602852394444925e-06,-2.3658959136540335e-06,0.0,0.0
1.2054013297738963e-06,3.549872735379443e-06,0.0,0.0
-2.481557519996752e-06,-5.7266956251407805e-06,0.0,0.0
-1.9335566782468747e-06,1.7617580669730367e-06,0.0,0.0
-1.0072191841184556e-06,-4.241504619196781e-06,0.0,0.0
1.712064062053426e-06,7.144941083202827e-06,0.0,0.0
1.428460555667955e-08,-4.855953770365026e-06,0.0,0.0
-1.9110638541042983e-06,2.649947555145914e-06,0.0,0.0
-2.4768539741764633e-06,-9.385036742929724e-06,0.0,0.0
-1.4451955973146382e-06,6.428486167051713e-06,0.0,0.0
6.787858001779832e-06,-6.35872296758121e-07,0.0,0.0
-2.2449500984254004e-06,-1.9432288463614244e-06,0.0,0.0
5.268361557915153e-06,1.2454044042918543e-05,0.0,0.0
-2.1028552491090894e-06,-8.389669001373673e-06,0.0,0.0
-4.6308240111893955e-06,1.2256628650567055e-06,0.0,0.0
5.0458053674286035e-06,6.650531408916678e-07,0.0,0.0
-2.7591996385019407e-06,3.3126900157676104e-07,0.0,0.0
-3.243637641862826e-06,-3.0547173450891603e-06,0.0,0.0
-3.6586825490256955e-06,2.642007824875804e-06,0.0,0.0
1.0677961985761864e-05,-6.9343012212076585e-06,0.0,0.0
