x,y,a,uv,ua
0.0,0.0,0.0,0.0,0.0
0.0,5.647335428374575e-08,0.0,0.0,0.0
0.0,-1.3133051018384899e-08,0.0,0.0,0.0
0.0,-1.0397923909864563e-08,0.0,0.0,0.0
0.0,-1.0397923909864563e-08,1.23e-06,0.002,0.0
-2.4601131090413242e-09,0.002000081560645264,1.23e-06,0.002,0.0
-4.919860999384687e-09,0.003999876593443737,1.23e-06,0.002,0.0
-4.919860999384687e-09,0.003999876593443737,1.000000000000001e-07,0.002,0.0
-5.119854585328408e-09,0.005999812452880943,1.000000000000001e-07,0.002,0.0
-5.319840410909667e-09,0.007999670708693528,1.000000000000001e-07,0.002,0.0
-5.519854132650648e-09,0.009999807926103332,1.000000000000001e-07,0.002,0.0
-5.719849370317442e-09,0.011999760302771258,1.000000000000001e-07,0.002,0.0
-5.919851754780169e-09,0.013999784147398527,1.000000000000001e-07,0.002,0.0
-6.1198402715558246e-09,0.01599966931515507,1.000000000000001e-07,0.002,0.0
-6.319836377227085e-09,0.017999630371867657,1.000000000000001e-07,0.002,0.0
-6.519827865226531e-09,0.01999954525186211,1.000000000000001e-07,0.002,0.0
-6.719831261256402e-09,0.021999579212160808,1.000000000000001e-07,0.002,0.0
-6.919821521235753e-09,0.023999481811954312,1.000000000000001e-07,0.002,0.0
-7.119817670130925e-09,0.02599944330090602,1.000000000000001e-07,0.002,0.0
-7.119817670130925e-09,0.02599944330090602,1.1600000000000001e-06,0.002,0.0
-7.119817670130925e-09,0.02599944330090602,-4.999999969612645e-08,0.002,0.0
-7.119817670130925e-09,0.02599944330090602,1.0900000003038736e-06,0.002,0.0
-9.299768397286781e-09,0.027999398095903502,1.0900000003038736e-06,0.002,0.0
-9.299768397286781e-09,0.027999398095903502,-1.999999987845058e-08,0.002,0.0
-9.259771758471973e-09,0.029999230048797787,-1.999999987845058e-08,0.002,0.0
-9.219773617359708e-09,0.03199913711656541,-1.999999987845058e-08,0.002,0.0
-9.17977335654507e-09,0.03399915016945236,-1.999999987845058e-08,0.002,0.0
-9.139774466879963e-09,0.03599909466486232,-1.999999987845058e-08,0.002,0.0
-9.099775771027003e-09,0.03799902946966488,-1.999999987845058e-08,0.002,0.0
-9.059777241220762e-09,0.03999895597213142,-1.999999987845058e-08,0.002,0.0
-9.059777241220762e-09,0.03999895597213142,2.6900000001215493e-06,0.002,0.0
-9.059777241220762e-09,0.03999895597213142,1.5900000001215493e-06,0.002,0.0
-9.059777241220762e-09,0.03999895597213142,5.700000001215493e-07,0.002,0.0
-1.019983684189452e-08,0.041999060534290235,5.700000001215493e-07,0.002,0.0
-1.133980595605468e-08,0.04399900634817961,5.700000001215493e-07,0.002,0.0
-1.2479817093574302e-08,0.04599902588726101,5.700000001215493e-07,0.002,0.0
-1.3619775179000472e-08,0.04799895235249427,5.700000001215493e-07,0.002,0.0
-1.4759727554466585e-08,0.04999886880025374,5.700000001215493e-07,0.002,0.0
-1.589972731898625e-08,0.051998868386703645,5.700000001215493e-07,0.002,0.0
-1.7039786008306935e-08,0.05399897134999742,5.700000001215493e-07,0.002,0.0
-1.8179770518450253e-08,0.05599894417438356,5.700000001215493e-07,0.002,0.0
-1.9319725690401516e-08,0.05799886552825733,5.700000001215493e-07,0.002,0.0
-2.045972493235113e-08,0.05999886419791767,5.700000001215493e-07,0.002,0.0
-2.1599697787558794e-08,0.061998816575048285,5.700000001215493e-07,0.002,0.0
-2.1599697787558794e-08,0.061998816575048285,2.800000000121549e-06,0.002,0.0
-2.1599697787558794e-08,0.061998816575048285,-7.20000000065113e-07,0.002,0.0
-2.1599697787558794e-08,0.061998816575048285,1.629999999934887e-06,0.002,0.0
-2.4859809293192614e-08,0.06399888498349071,1.629999999934887e-06,0.002,0.0
-2.8119550880655108e-08,0.06599872644826975,1.629999999934887e-06,0.002,0.0
-3.1379695097209636e-08,0.06799881492476169,1.629999999934887e-06,0.002,0.0
-3.1379695097209636e-08,0.06799881492476169,2.8799999999348873e-06,0.002,0.0
-3.713946804383877e-08,0.06999873608682539,2.8799999999348873e-06,0.002,0.0
-4.289983851258303e-08,0.07199886472184572,2.8799999999348873e-06,0.002,0.0
-4.289983851258303e-08,0.07199886472184572,4.129999999934887e-06,0.002,0.0
-5.115932444190724e-08,0.07399874024954728,4.129999999934887e-06,0.002,0.0
-5.9419758670629814e-08,0.07599884538969397,4.129999999934887e-06,0.002,0.0
-5.9419758670629814e-08,0.07599884538969397,2.939999999934887e-06,0.002,0.0
-5.9419758670629814e-08,0.07599884538969397,4.769999999934887e-06,0.002,0.0
-5.9419758670629814e-08,0.07599884538969397,3.259999999934887e-06,0.002,0.0
-6.59398618734126e-08,0.07799887704702216,3.259999999934887e-06,0.002,0.0
-7.245984095120053e-08,0.07999887062919855,3.259999999934887e-06,0.002,0.0
-7.897958520509338e-08,0.0819987921795053,3.259999999934887e-06,0.002,0.0
-8.549943162796896e-08,0.08399874506999079,3.259999999934887e-06,0.002,0.0
-9.201946977064956e-08,0.08599875677023243,3.259999999934887e-06,0.002,0.0
-9.201946977064956e-08,0.08599875677023243,4.339999999934887e-06,0.002,0.0
-1.0069981931621799e-07,0.08799883731070343,4.339999999934887e-06,0.002,0.0
-1.0937983042390767e-07,0.08999883987009638,4.339999999934887e-06,0.002,0.0
-1.1805961585025822e-07,0.09199879042918077,4.339999999934887e-06,0.002,0.0
-1.2673909674946085e-07,0.09399867082071957,4.339999999934887e-06,0.002,0.0
-1.3541917804366186e-07,0.09599868955211974,4.339999999934887e-06,0.002,0.0
-1.440993313532386e-07,0.09799872487692446,4.339999999934887e-06,0.002,0.0
-1.5277945903401342e-07,0.09999875429647527,4.339999999934887e-06,0.002,0.0
-1.6145930333833538e-07,0.10199871842191252,4.339999999934887e-06,0.002,0.0
-1.6145930333833538e-07,0.10199871842191252,3.2999999999348866e-06,0.002,0.0
-1.6805935511856677e-07,0.10399873411292393,3.2999999999348866e-06,0.002,0.0
-1.7465877046794133e-07,0.10599855694609994,3.2999999999348866e-06,0.002,0.0
-1.7465877046794133e-07,0.10599855694609994,4.669999999934886e-06,0.002,0.0
-1.7465877046794133e-07,0.10599855694609994,3.639999999934886e-06,0.002,0.0
-1.8193861831108684e-07,0.10799851514479324,3.639999999934886e-06,0.002,0.0
-1.8921894069881236e-07,0.10999860371287665,3.639999999934886e-06,0.002,0.0
-1.9649856556429618e-07,0.11199850065397057,3.639999999934886e-06,0.002,0.0
-2.0377878379875484e-07,0.11399856060851912,3.639999999934886e-06,0.002,0.0
-2.1105852189679975e-07,0.1159984886574595,3.639999999934886e-06,0.002,0.0
-2.1833818431897822e-07,0.11799839591632667,3.639999999934886e-06,0.002,0.0
-2.1833818431897822e-07,0.11799839591632667,5.499999999934886e-06,0.002,0.0
-2.293377921143615e-07,0.11999832460639986,5.499999999934886e-06,0.002,0.0
-2.403373336406524e-07,0.12199824124754718,5.499999999934886e-06,0.002,0.0
-2.5133702624599815e-07,0.12399818535761356,5.499999999934886e-06,0.002,0.0
-2.6233707116545504e-07,0.12599819352479105,5.499999999934886e-06,0.002,0.0
-2.733367540555507e-07,0.12799813586844833,5.499999999934886e-06,0.002,0.0
-2.843365586219766e-07,0.12999810033507472,5.499999999934886e-06,0.002,0.0
-2.843365586219766e-07,0.12999810033507472,-0.0061484700000002945,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.03691696000000011,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.06768596000000038,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.0984543500000008,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.12922394000000104,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.15999400000000108,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.19076311000000068,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.22153292000000047,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.25230026000000016,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.28307182,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.3138390900000001,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.3446099,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.37537794999999985,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.40614742999999986,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.43691666999999956,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.4676855299999998,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.4984539699999999,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.5292241200000003,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.5599926700000006,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.5907623400000004,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.62153305,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.6523014400000005,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.6830709600000002,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.7138386300000006,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.744607890000001,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.775378120000001,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.8061471400000011,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.8369154000000014,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.8676860600000014,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.8984547600000017,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.9292238000000017,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.9599925200000019,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-0.9907625600000021,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-1.0215319500000017,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-1.0523016300000014,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-1.0830699600000013,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-1.1138390300000012,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-1.1446095300000012,0.0,-0.3076923076923077
-2.843365586219766e-07,0.12999810033507472,-1.150761590000001,0.002,0.0
0.0018259259073017066,0.13081371178258888,-1.150761590000001,0.002,0.0
0.0036520874947405845,0.13162930149945373,-1.150761590000001,0.002,0.0
0.00547813644949604,0.13244484091296152,-1.150761590000001,0.002,0.0
0.00547813644949604,0.13244484091296152,-1.1507634700000011,0.002,0.0
0.00547813644949604,0.13244484091296152,-1.1507615600000012,0.002,0.0
0.007304274746245924,0.1332604202935853,-1.1507615600000012,0.002,0.0
0.009130354552516125,0.13407597355152756,-1.1507615600000012,0.002,0.0
0.009130354552516125,0.13407597355152756,-1.150762620000001,0.002,0.0
0.010956479517898427,0.13489154465637979,-1.150762620000001,0.002,0.0
0.01278275285231421,0.13570718202476756,-1.150762620000001,0.002,0.0
0.014608774943506184,0.13652270718467152,-1.150762620000001,0.002,0.0
0.016434978325389326,0.13733831331135052,-1.150762620000001,0.002,0.0
0.018261091543263983,0.13815387916961339,-1.150762620000001,0.002,0.0
0.020087206064266283,0.13896944560986998,-1.150762620000001,0.002,0.0
0.021913311234643636,0.13978500787401615,-1.150762620000001,0.002,0.0
0.023739438931269174,0.14060058019867705,-1.150762620000001,0.002,0.0
0.025565566660661166,0.14141615253797185,-1.150762620000001,0.002,0.0
0.025565566660661166,0.14141615253797185,-1.1507613200000009,0.002,0.0
0.025565566660661166,0.14141615253797185,-1.1507625300000006,0.002,0.0
0.027391619929596576,0.1422316918193861,-1.1507625300000006,0.002,0.0
0.029217744839800098,0.14304726309672805,-1.1507625300000006,0.002,0.0
